,ID,BRAND,SUB_DETAIL,START_DATE,END_DATE,DURATION,REVENUE
0,000DTPC747,LimeLight,trial annual,2023-06-14,2023-06-14,16,49.62
1,000ELOE240,LimeLight,expired annual,2023-01-01,2023-04-25,114,80.01
2,000GTIY258,Pulse,expired monthly,2023-01-01,2023-01-03,2,7.98
3,000LZCB553,RetroReel,expired monthly,2023-01-01,2023-01-13,12,30.0
4,000NKPB626,ChillStream,paid monthly,2023-04-05,2023-04-05,86,75.03
5,000ORNZ823,CineQuest,paid monthly,2023-02-09,2023-03-13,32,23.98
6,000ORNZ823,CineQuest,paid monthly,2023-04-18,2023-04-18,73,36.0
7,000PGCL630,RetroReel,expired monthly,2023-01-01,2023-05-05,124,150.05
8,000QEVH452,LimeLight,paid annual,2023-05-18,2023-05-18,43,80.0
9,000RKIJ792,Pulse,expired annual,2023-01-01,2023-01-29,28,50.01
10,000SDWN043,LimeLight,paid annual,2023-02-07,2023-02-07,143,80.0
11,000SJSR665,Pulse,paid monthly,2023-05-28,2023-05-28,33,16.0
12,000TOJT688,Pulse,discounted monthly,2023-02-22,2023-02-22,128,25.6
13,000TXEC968,RetroReel,discounted monthly,2023-06-16,2023-06-16,14,29.98
14,000UQTO352,LimeLight,expired monthly,2023-01-01,2023-04-10,99,80.0
15,000UQTO352,Pulse,discounted annual,2023-01-09,2023-01-09,172,49.04
16,000VLET636,RetroReel,expired annual,2023-01-01,2023-03-01,59,119.99
17,000XYZK575,Pulse,paid annual,2023-04-26,2023-04-26,65,50.0
18,000YBDY680,Pulse,expired monthly,2023-01-01,2023-06-29,179,48.06
19,000YRER318,CineQuest,paid monthly,2023-02-22,2023-02-22,128,59.95
20,000YZXN802,Pulse,discounted monthly,2023-01-25,2023-02-08,14,4.26
21,000YZXN802,Pulse,paid monthly,2023-04-28,2023-04-28,63,24.0
22,001ARPK279,ChillStream,expired monthly,2023-01-01,2023-05-31,150,125.05000000000001
23,001ARPK279,ChillStream,discounted monthly,2023-06-13,2023-06-13,17,11.52
24,001DLTR482,CineQuest,paid monthly,2023-06-23,2023-06-23,7,12.0
25,001HERX577,RetroReel,discounted monthly,2023-06-27,2023-06-27,3,9.26
