,ID,2023_REVENUE
0,000DTPC747,80.0
1,000ELOE240,160.02
2,000GTIY258,77.05
3,000PDZG668,80.01
4,000QEVH452,80.0
5,000SDWN043,80.0
6,000UQTO352,160.01
7,001DJNA725,79.99
8,001GUVF664,139.98000000000002
9,001JDME989,80.0
10,001JYOY737,39.98
11,001PIBK965,77.84
12,001PKYB529,180.0
13,001RBOC950,220.11
14,001RLIN262,60.0
15,001TTLN903,100.05000000000001
16,001WKVX393,149.16
17,001XDRM026,20.0
18,002AOWO547,79.99
19,002FIHW100,180.09
20,002KPEI614,20.0
21,002MCDO278,199.89999999999998
22,002NKQR179,181.08999999999997
23,002PPXS156,180.0
24,002QROR117,79.97
25,002QTOP811,60.0
26,002SOIZ089,79.99
27,003GPNN238,79.99
28,003JAJC959,199.92000000000002
29,003TEQR186,169.12
30,003XKHS955,220.11
31,003YZJM392,108.24
32,003ZHRQ771,122.91
33,004AMJN950,120.06
34,004PAMY118,120.03
35,004PMLD524,139.92999999999998
36,004POHC309,60.0
37,004SFGA279,219.91999999999996
38,004SZWZ820,80.04
39,004UOHX798,80.01
40,004XMMN681,219.89
41,005BCIQ004,220.0
42,005CKJF445,240.0
43,005CRSD874,19.99
44,005CVMO725,79.99
45,005IKHP676,31.92
46,005ITHJ033,139.99
47,005IZSJ697,239.88
48,005KLHD033,79.98
49,005LMLD320,219.89
50,005MQWT219,100.05000000000001
51,005PUYF561,220.11
52,005PXUP242,39.98
53,005QWTZ542,119.94
54,005RCWZ068,180.09
55,006CSAF205,80.02000000000001
56,006IDRX772,80.0
57,006RHZT505,180.09000000000003
58,007GCJV175,79.99
59,007HNUM396,200.10000000000002
60,007IAJO670,80.0
61,007JGRB024,231.79000000000002
62,007JOPC871,140.0
63,007KYTZ045,179.91
64,007QFCY161,79.99
65,007QFVA399,202.72
66,007XAFB326,80.0
67,008DEJF778,120.0
68,008DFCS661,40.02
69,008ENDY646,40.02
70,009BNUY561,80.0
71,009BYWQ378,140.01999999999998
72,009ILTP035,80.01
73,009MCBT205,240.0
74,009MNVS084,80.0
75,009OWTK397,120.0
76,009PNHD703,40.0
77,009WCWO485,140.06
78,009YWEP229,120.04
79,010ADQH166,199.82
80,010DWEH981,80.0
81,010FMTD776,140.0
82,010IITI122,39.98
83,010IUXU575,80.12
84,010KWCU194,80.0
85,010OTFD477,80.0
86,010PKHU916,239.88
87,010SSVA945,219.89
88,010UGQJ077,139.92999999999998
89,010UXXD311,120.0
90,010WSZH215,60.03
91,011ABCI893,79.99
92,011ANYH850,159.97
93,011CQIW361,220.03
94,011DGAN495,180.0
95,011FKXG559,120.0
96,011KFWT471,80.01
97,011LSEX181,79.99
98,011PNDQ451,80.01
99,011QAYX660,200.0
100,011RJQJ064,140.07000000000002
101,011TADD214,80.0
102,011WHSO110,49.04
103,011WNBL181,120.0
104,012BZSE813,200.10000000000002
105,012EOCL372,220.10000000000002
106,012GHKT061,79.99
107,012GOPO394,160.04
108,012KUUP502,80.0
109,012MCDK776,79.96
110,012QOKK113,199.89999999999998
111,012ROSW222,100.0
112,012STHR868,40.0
113,012VORL281,80.04
114,013CXMJ572,20.02
115,013QGID965,171.20999999999998
116,013QOEF984,219.89
117,013WTOI330,100.0
118,014CMHT778,99.9
119,014DOWC205,160.07
120,014EZXN555,140.11
121,014LSWK188,60.0
122,014ZCIU221,120.06
123,015DQGV741,140.07000000000002
124,015EBAN782,220.11
125,015JHHY812,19.99
126,015MDTG749,79.99
127,015PWDY650,160.0
128,015QKAZ245,120.0
129,015XJMZ129,60.0
130,016CMYY649,99.97
131,016DJGC691,80.0
132,016EDKI066,240.12
133,016FXDT429,160.0
134,016GAJZ406,120.0
135,016JBWX743,19.99
136,016LJYF537,80.02
