,ID,REVENUE
0,000DTPC747,80.0
1,000TOJT688,20.01
2,000UQTO352,20.02
3,001AVSB880,60.0
4,001DJNA725,79.99
5,001GBJC687,20.02
6,001JDME989,76.56
7,001PKYB529,60.0
8,001RBOC950,39.98
9,001WKVX393,60.0
10,001XDRM026,60.0
11,002CNQR282,60.03
12,002CUYF788,20.0
13,002EXCW867,60.03
14,002GOMV479,80.0
15,002NKQR179,60.0
16,002PPXS156,120.02000000000001
17,002QROR117,80.01
18,003AEKA966,80.0
19,003ANID263,139.92999999999998
20,003GPNN238,139.76
21,003JXTS440,80.0
22,003KGDD155,79.98
23,003LTEX955,79.99
24,003NRLM550,100.0
25,003XKHS955,41.94
26,003YZJM392,100.0
27,004AMJN950,20.01
28,004BTTQ071,99.94999999999999
29,004JVWK677,79.96
30,004KQJC323,99.99000000000001
31,004POHC309,80.05000000000001
32,004SFGA279,80.02
33,004UOHX798,80.0
34,005BCIQ004,79.99
35,005CKJF445,79.92
36,005CVMO725,80.0
37,005IKHP676,20.01
38,005IZSJ697,59.97
39,005JAMG408,20.0
40,005MQWT219,20.0
41,005PXUP242,114.94000000000001
42,005RCWZ068,120.0
43,005TQVA378,80.04
44,006CSAF205,99.94999999999999
45,006DQSO238,79.99
46,006RHZT505,40.47
47,006WTSZ851,79.99
48,007HNUM396,80.0
49,007IAJO670,80.0
50,007JGRB024,80.04
51,007JOPC871,118.68
52,007KYTZ045,91.44
53,008DFCS661,49.050000000000004
54,008ETUJ347,120.0
55,008LORV934,100.0
56,008RBZM621,79.98
57,008RWKF805,59.97
58,009BNUY561,80.01
59,009MCBT205,60.0
60,009PNHD703,79.99
61,009YWEP229,100.0
62,009ZZUD567,80.01
63,010DWEH981,60.0
64,010IITI122,15.7
65,010LGPV785,120.0
66,010MJGC911,40.0
67,010MURF353,80.0
68,010UGQJ077,80.01
69,010UXXD311,119.94
70,010UZAZ742,32.36
71,010XTJU142,80.02
72,011DGAN495,30.0
73,011KFWT471,36.29
74,011LXVA830,40.0
75,011PNDQ451,79.99
76,011YPPT247,39.98
77,012COPQ802,120.0
78,012GOPO394,20.01
79,012JTXS726,99.94999999999999
80,012QPKE887,80.0
81,012XNXP920,80.0
82,013MUXZ573,149.85
83,013QOEF984,100.05000000000001
84,013WTOI330,43.74
85,014ESGL019,160.0
86,014EUJF794,80.0
87,014EZXN555,80.01
88,014LWTH723,100.05000000000001
89,014NKXD507,99.9
90,014XEPR381,160.0
91,014ZCIU221,100.0
92,015DQGV741,60.0
93,015JHHY812,54.300000000000004
94,015NWAR843,99.93
95,015QKAZ245,60.0
96,016EDKI066,39.98
97,016LXUI104,40.02
98,016OYMJ988,100.05000000000001
99,016PARE178,120.0
100,016XRMB711,80.0
101,016YHAR018,80.0
102,016YIWI121,60.03
103,016ZEND478,80.01
104,017FTCG762,80.0
105,017IYEH485,80.0
106,017SOQL997,80.08
107,017UAZJ233,80.0
108,017WANR517,60.0
109,017ZUOQ892,80.01
110,018ANQW913,40.0
111,018CLYH740,80.0
112,018ILID103,79.92
113,018JQWM859,69.96
114,018TEQB415,40.02
115,018WPHQ081,79.99
116,019DEBX261,80.0
117,019GZNM737,59.93
118,019HUZO580,19.47
119,019MXNP037,79.96
120,019RMYF977,99.97
121,019XAQV659,20.01
122,019XLLK713,80.0
123,020GIHZ158,80.01
124,020LIWM012,79.96
125,020MTYR398,100.0
126,020PRNI876,80.0
127,020QGYI708,70.6
128,020VLEL966,80.0
129,021BQNT823,59.97
130,021HMTS617,79.99
131,021LSUI847,79.98
132,021QHIP232,19.99
133,021YQHK510,79.96
134,021ZINA742,48.96
135,022GXME748,100.0
136,022HBGW840,39.94
137,022IGZS622,79.99
138,022KRBF944,99.94999999999999
139,022LCFG185,20.0
140,022TNQG939,60.6
141,022VSBY924,92.83999999999999
142,022WSQP330,119.94
143,023AEMD568,100.0
144,023JYNY103,61.36
145,023KSTZ127,139.92999999999998
146,023NBMO154,20.0
147,023OBAE790,37.86
148,023YBKB436,20.0
149,024BTWL734,60.0
150,024COKF930,240.03000000000003
151,024JVTH723,99.94999999999999
152,024VVIC434,60.0
153,024XEGX467,79.99
154,024XMTM051,79.94
155,025CGZS202,100.05000000000001
156,025ITFZ496,39.98
157,025NQAL295,119.94
158,025RXMR903,59.97
159,025TQUE999,119.94
160,025UMCY722,100.05000000000001
161,025YMFI743,10.12
162,026DSWO376,12.8
163,026OHPD321,80.0
164,026OJXT664,37.89
165,026RJOR814,40.02
166,026TIBP449,13.04
167,026WCBJ610,40.0
168,026YHQQ997,60.300000000000004
169,027FGUK196,80.08
170,027GTSJ413,60.0
171,027JSJR650,68.85
172,027QGJI157,80.0
173,027UYBT302,119.99
174,027WNFP029,40.0
175,027XRPZ616,100.05000000000001
176,027XZAS168,80.0
177,028CDVH587,120.18
178,028MQNF994,80.0
179,028NIYO825,80.0
180,028PVHM115,20.01
181,028YDML976,80.03
182,029OQQF991,60.0
183,029PEPP791,27.82
184,029QTGK700,79.24000000000001
185,029TIYB373,98.73
186,029ZDFO054,40.0
187,030CQBR544,99.94999999999999
188,030DYDJ141,79.99
189,030EFIE253,80.04
190,030HDNY468,80.0
191,030HJKU811,100.0
192,030HTEC414,80.0
193,030MFHW042,79.99
194,030PNMS717,40.0
195,030WRAI043,120.0
196,030WXQS882,120.0
197,031BPCV774,28.14
198,031SBNW862,79.47
199,031VIOS000,49.04
200,031YKUM285,80.0
201,031ZGOE516,120.0
202,031ZIAS479,80.0
203,032GFSZ055,79.96
204,032KBQE129,13.16
205,032ORNY757,80.0
206,032WKQF887,99.94999999999999
207,032XGEY400,40.0
208,033FJIK272,85.0
209,033GJAZ701,80.0
210,033ILWH318,119.88
